year,month,mean_speed_ms,mean_uo,mean_vo,direction_deg,period
2018,1,0.12866608489599313,0.06118863821029663,-0.01937338337302208,107.56868968728105,pre-COVID
2018,2,0.1307454602685226,0.044477108865976334,-0.013268445618450642,106.61093517396978,pre-COVID
2018,3,0.15155338877259814,0.09013951569795609,-0.030446218326687813,108.66330808598299,pre-COVID
2018,4,0.13992039422518657,0.061934247612953186,0.011906618252396584,79.11787549062007,pre-COVID
2018,5,0.14308154883000154,0.037640947848558426,-0.02271421067416668,121.10863653564154,pre-COVID
2018,6,0.12839833100776266,0.02529497630894184,-0.03664146363735199,145.3812263338721,pre-COVID
2018,7,0.13219783965534088,0.02929447591304779,-0.031957030296325684,137.48903513412682,pre-COVID
2018,8,0.12045396228854927,0.01336150337010622,-0.036657799035310745,159.97356664991898,pre-COVID
2018,9,0.11384099973384934,0.02246144227683544,-0.017650380730628967,128.16054586171234,pre-COVID
2018,10,0.10711277830502902,0.03534330800175667,0.008690553717315197,76.18562230351205,pre-COVID
2018,11,0.1326330465124609,0.05234725400805473,-0.0017659444129094481,91.93215109965509,pre-COVID
2018,12,0.12840870687405417,0.047237496823072433,-0.02982611022889614,122.26862202766154,pre-COVID
2019,1,0.13916580087874753,0.026055030524730682,-0.036056552082300186,144.14753357484665,pre-COVID
2019,2,0.13971931899213338,0.04514547064900398,-0.02432798594236374,118.31933428631993,pre-COVID
2019,3,0.13335171775317975,0.0347570963203907,-0.03757225722074509,137.22890785035116,pre-COVID
2019,4,0.11892528963337928,0.046156540513038635,-0.0044998712837696075,95.56825577385672,pre-COVID
2019,5,0.1323935893840109,0.032967690378427505,-0.044076696038246155,143.20491030747348,pre-COVID
2019,6,0.13185610084353733,0.022191733121871948,0.0054584830068051815,76.1813240958465,pre-COVID
2019,7,0.1297114592651827,0.029639611020684242,-0.02597222849726677,131.22703131740374,pre-COVID
2019,8,0.11860001042266424,0.028418496251106262,-0.004926144611090422,99.83409621719682,pre-COVID
2019,9,0.13031302120892302,0.02262081205844879,-0.01564711518585682,124.67212280511986,pre-COVID
2019,10,0.1397398143130158,0.03504931926727295,-0.005272580776363611,98.555037659135,pre-COVID
2019,11,0.15156471538501978,0.0729709342122078,-0.035019923001527786,115.63709672663978,pre-COVID
2019,12,0.13992547965173335,0.06622318923473358,-0.016555387526750565,104.0359097826529,pre-COVID
2020,1,0.13230407588537563,0.044550392776727676,0.016806811094284058,69.33081916121328,COVID
2020,2,0.14496543574078058,0.04448231682181358,-0.023631678894162178,117.97992450681706,COVID
2020,3,0.12024379824868663,0.029858773574233055,0.0014786480460315943,87.16494922949848,COVID
2020,4,0.11117085478311213,0.02272411808371544,0.01938869245350361,49.52849632295706,COVID
2020,5,0.1131663818947442,0.0270115714520216,-0.007519079372286797,105.55534796058609,COVID
2020,6,0.11886208383035965,0.042300935834646225,-0.029962431639432907,125.31055389444245,COVID
2020,7,0.11481549744841503,0.017106065526604652,-0.026585353538393974,147.24117201519735,COVID
2020,8,0.11810081932463772,0.02155357599258423,-0.03231542184948921,146.2977068314638,COVID
2020,9,0.12917202043594267,0.021641116589307785,-0.03787257522344589,150.25552353072663,COVID
2020,10,0.13197703691500887,0.05011669546365738,-0.030787264928221703,121.56288660758399,COVID
2020,11,0.12380609368715799,0.025147033855319023,-0.001968724187463522,94.47647139399392,COVID
2020,12,0.1272387797047484,0.05796034634113312,-0.02378515526652336,112.3117483269502,COVID
2021,1,0.14167399566690175,0.05853854492306709,-0.03827378526329994,123.17753996010822,COVID
2021,2,0.13497594547224434,0.0561293363571167,0.007105057127773762,82.78565975419146,COVID
2021,3,0.11258992134502187,0.021024616435170174,-0.0036076894029974937,99.73676321663679,COVID
2021,4,0.11742116987817018,0.022164206951856613,0.01515683252364397,55.63401006131973,COVID
2021,5,0.11936521850991576,0.03596493601799011,-0.01639346219599247,114.5043484749266,COVID
2021,6,0.11890355299454299,0.023237720131874084,0.004772499203681946,78.3941318644167,COVID
2021,7,0.1203373274847664,0.02823975495994091,-0.016856594011187553,120.83340247761217,COVID
2021,8,0.11825503972940966,0.018020102754235268,-0.020091863349080086,138.11152729522797,COVID
2021,9,0.12336618437502372,0.022527113556861877,0.0005689682438969612,88.55318571157046,COVID
2021,10,0.11266312869529173,0.013666454702615738,-0.014817277900874615,137.31365284232248,COVID
2021,11,0.12106422252108952,0.0431494377553463,-0.01250067725777626,106.15665174618523,COVID
2021,12,0.12216885724254092,0.05030502378940582,-0.03429111838340759,124.28084185958595,COVID
2022,1,0.10411971739922089,0.032070573419332504,-0.01645287126302719,117.1587671051766,post-COVID
2022,2,0.10255998512871552,0.03256744518876076,-0.024236315861344337,126.65619625690947,post-COVID
2022,3,0.12087122316231144,0.026871178299188614,0.0615689754486084,23.578393012554287,post-COVID
2022,4,0.11041028501957208,0.03572744131088257,-0.002115179318934679,93.3881394340224,post-COVID
2022,5,0.12139852584032328,0.030128777027130127,0.004929482936859131,80.70795190300703,post-COVID
2022,6,0.12026248021445576,0.03806929290294647,0.004090646747499704,83.86694812701373,post-COVID
2022,7,0.1189762415750561,0.009106546640396118,-0.011964673176407814,142.7245278406441,post-COVID
2022,8,0.11900360213960035,0.01632552221417427,-0.024973619729280472,146.82692570728054,post-COVID
2022,9,0.11148522344994549,0.032758500427007675,-0.010805186815559864,108.25481658224548,post-COVID
2022,10,0.10535003109741635,0.03217929229140282,0.010263110511004925,72.31068463251768,post-COVID
2022,11,0.11798391324618848,0.024634134024381638,-0.031102316454052925,141.61953151816857,post-COVID
2022,12,0.13581247228140025,0.06695174425840378,-0.012751447968184948,100.78325302220192,post-COVID
2023,1,0.12497270751646308,0.049190014600753784,-0.02222897857427597,114.31822125099102,post-COVID
2023,2,0.11153218905739991,0.03983262553811073,0.014979404397308826,69.39079400495022,post-COVID
2023,3,0.1308328289160714,0.05923382565379143,-0.026060041040182114,113.74719112336408,post-COVID
2023,4,0.11861725767961111,0.028367945924401283,-0.03255299851298332,138.92984248249473,post-COVID
2023,5,0.11375422356386328,-0.002534127328544855,-0.022590484470129013,186.4004971887058,post-COVID
2023,6,0.10751470602725136,0.033584047108888626,-0.01206799503415823,109.76524693731321,post-COVID
2023,7,0.10305184755395683,0.033064745366573334,-0.01403870526701212,113.00521742013252,post-COVID
2023,8,0.11540785516495815,0.024097807705402374,-0.039128173142671585,148.3723945707266,post-COVID
2023,9,0.10961016066307254,0.01303230319172144,-0.007024799473583698,118.32598940768682,post-COVID
2023,10,0.11354385969485717,0.044058509171009064,-0.021828506141901016,116.3558205151074,post-COVID
2023,11,0.1344709370560535,0.04957962781190872,-0.03895847871899605,128.1594107234017,post-COVID
2023,12,0.11956088501384644,0.04155245050787926,-0.027581650763750076,123.57537816821979,post-COVID
